#period	period time	calc time
980	1499	1505
981	1748	1244
982	1499	999
983	1246	1251
984	1500	1497
985	1750	1247
986	1745	1253
987	1498	1500
988	1753	1248
989	1749	1248
990	1494	1503
991	1752	1246
992	1748	1249
993	1499	1498
994	1748	1249
995	1750	1247
996	1498	1248
997	1499	997
998	1247	1249
999	1749	1502
1000	1506	992
